ON197786.1	Bahrain
ON076625.1	Bahrain
ON171973.1	Bahrain
OM843314.1	Bahrain
OM986562.1	Bahrain
ON076688.1	Bahrain
ON146533.1	Bahrain
ON171903.1	Bahrain
OP114022.1	Bahrain
ON418967.1	Bahrain
OP457169.1	Bahrain
OM844239.1	Bahrain
OP256671.1	Bahrain
OM845076.1	Bahrain
OM986641.1	Bahrain
OM845100.1	Bahrain
ON171912.1	Bahrain
ON420450.1	Bahrain
OP113972.1	Bahrain
ON103149.1	Bahrain
OM843365.1	Bahrain
ON146394.1	Bahrain
ON103073.1	Bahrain
OP114442.1	Bahrain
ON627392.1	Bahrain
OM986648.1	Bahrain
ON419014.1	Bahrain
ON597501.1	Bahrain
OM843149.1	Bahrain
OM845170.1	Bahrain
OP114001.1	Bahrain
ON076543.1	Bahrain
ON171971.1	Bahrain
OM843355.1	Bahrain
ON146393.1	Bahrain
OM844101.1	Bahrain
ON103256.1	Bahrain
OM845073.1	Bahrain
ON171863.1	Bahrain
ON076601.1	Bahrain
ON103248.1	Bahrain
ON627472.1	Bahrain
OM844376.1	Bahrain
ON076546.1	Bahrain
ON103123.1	Bahrain
ON103082.1	Bahrain
ON197722.1	Bahrain
ON103095.1	Bahrain
ON146379.1	Bahrain
OM844268.1	Bahrain
OM986602.1	Bahrain
ON597589.1	Bahrain
ON171983.1	Bahrain
ON171998.1	Bahrain
OM843215.1	Bahrain
OM845202.1	Bahrain
OM844401.1	Bahrain
OP114458.1	Bahrain
OM986586.1	Bahrain
ON146569.1	Bahrain
ON197753.1	Bahrain
OM845139.1	Bahrain
OP727476.1	Bahrain
ON171927.1	Bahrain
ON103267.1	Bahrain
OM843235.1	Bahrain
ON103071.1	Bahrain
OM986619.1	Bahrain
ON103292.1	Bahrain
OM986669.1	Bahrain
ON076681.1	Bahrain
ON197741.1	Bahrain
OP113966.1	Bahrain
ON103242.1	Bahrain
ON197698.1	Bahrain
ON197726.1	Bahrain
ON419024.1	Bahrain
OP295591.1	Bahrain
OM845103.1	Bahrain
OP727480.1	Bahrain
OM844118.1	Bahrain
OM844077.1	Bahrain
ON103084.1	Bahrain
ON627422.1	Bahrain
OP208338.1	Bahrain
ON197688.1	Bahrain
ON076664.1	Bahrain
OM845222.1	Bahrain
OP733065.1	Bahrain
ON103137.1	Bahrain
ON171996.1	Bahrain
ON197800.1	Bahrain
OM844267.1	Bahrain
OM986610.1	Bahrain
ON420457.1	Bahrain
ON419019.1	Bahrain
ON419005.1	Bahrain
OM844081.1	Bahrain
OP208335.1	Bahrain
OP295533.1	Bahrain
OP295540.1	Bahrain
ON627278.1	Bahrain
ON103147.1	Bahrain
ON171930.1	Bahrain
OP295530.1	Bahrain
ON384965.1	Bahrain
OM844411.1	Bahrain
ON076615.1	Bahrain
OM843156.1	Bahrain
ON076655.1	Bahrain
ON076641.1	Bahrain
OM845160.1	Bahrain
ON197818.1	Bahrain
OP295559.1	Bahrain
OP295567.1	Bahrain
ON103057.1	Bahrain
ON171875.1	Bahrain
ON103258.1	Bahrain
OP365055.1	Bahrain
OM844294.1	Bahrain
ON419035.1	Bahrain
ON077271.1	Bahrain
OM844256.1	Bahrain
ON171885.1	Bahrain
ON076594.1	Bahrain
OP295510.1	Bahrain
ON597573.1	Bahrain
OM844283.1	Bahrain
ON076711.1	Bahrain
OM844296.1	Bahrain
OM986571.1	Bahrain
ON103244.1	Bahrain
ON171850.1	Bahrain
ON597504.1	Bahrain
ON420462.1	Bahrain
ON103080.1	Bahrain
OP001900.1	Bahrain
ON076526.1	Bahrain
OM845129.1	Bahrain
ON420445.1	Bahrain
ON597542.1	Bahrain
OP256633.1	Bahrain
OP114479.1	Bahrain
ON597520.1	Bahrain
ON419337.1	Bahrain
OM845072.1	Bahrain
OM845066.1	Bahrain
ON103274.1	Bahrain
ON627436.1	Bahrain
ON103077.1	Bahrain
ON171897.1	Bahrain
OP169731.1	Bahrain
ON597570.1	Bahrain
ON627348.1	Bahrain
ON076550.1	Bahrain
OP256681.1	Bahrain
ON171907.1	Bahrain
ON103246.1	Bahrain
ON171917.1	Bahrain
ON146368.1	Bahrain
OM844058.1	Bahrain
OM844380.1	Bahrain
OP113991.1	Bahrain
OM844105.1	Bahrain
OM844383.1	Bahrain
OM986518.1	Bahrain
OP001886.1	Bahrain
ON419328.1	Bahrain
OM844220.1	Bahrain
ON103269.1	Bahrain
ON627324.1	Bahrain
ON146364.1	Bahrain
OP295572.1	Bahrain
OM843202.1	Bahrain
OM844252.1	Bahrain
OM843143.1	Bahrain
ON103145.1	Bahrain
ON076529.1	Bahrain
OP114469.1	Bahrain
OP733057.1	Bahrain
OM986674.1	Bahrain
OM844080.1	Bahrain
ON146425.1	Bahrain
OM844041.1	Bahrain
OM845088.1	Bahrain
ON146527.1	Bahrain
ON419336.1	Bahrain
ON076700.1	Bahrain
ON197727.1	Bahrain
OP169739.1	Bahrain
OM844276.1	Bahrain
ON627349.1	Bahrain
OP256649.1	Bahrain
OM845221.1	Bahrain
ON103265.1	Bahrain
ON420474.1	Bahrain
ON103142.1	Bahrain
ON076637.1	Bahrain
OM844075.1	Bahrain
ON103298.1	Bahrain
ON627398.1	Bahrain
OM845117.1	Bahrain
ON419008.1	Bahrain
OM843544.1	Bahrain
OP733027.1	Bahrain
OM844221.1	Bahrain
ON627462.1	Bahrain
OP169781.1	Bahrain
ON418974.1	Bahrain
OM845224.1	Bahrain
ON419346.1	Bahrain
OM986495.1	Bahrain
ON197747.1	Bahrain
ON197765.1	Bahrain
OM845089.1	Bahrain
OM843535.1	Bahrain
ON197840.1	Bahrain
OM986515.1	Bahrain
OM986560.1	Bahrain
ON419044.1	Bahrain
ON146404.1	Bahrain
ON171869.1	Bahrain
OM844115.1	Bahrain
OP114503.1	Bahrain
ON146414.1	Bahrain
OM844337.1	Bahrain
OM844119.1	Bahrain
OM844396.1	Bahrain
ON103277.1	Bahrain
OM844049.1	Bahrain
OP001947.1	Bahrain
OM843173.1	Bahrain
ON597513.1	Bahrain
ON103231.1	Bahrain
OP169704.1	Bahrain
ON197685.1	Bahrain
OP295513.1	Bahrain
OP001977.1	Bahrain
OM843417.1	Bahrain
ON420275.1	Bahrain
OM250200.1	Bahrain
ON077239.1	Bahrain
ON197697.1	Bahrain
OP457145.1	Bahrain
ON419018.1	Bahrain
OP113999.1	Bahrain
OP295583.1	Bahrain
ON597551.1	Bahrain
ON146536.1	Bahrain
OM845178.1	Bahrain
ON077280.1	Bahrain
ON627483.1	Bahrain
OP295558.1	Bahrain
OP727503.1	Bahrain
OM986589.1	Bahrain
OM986693.1	Bahrain
ON197749.1	Bahrain
ON146395.1	Bahrain
ON146518.1	Bahrain
ON077302.1	Bahrain
OM844050.1	Bahrain
ON197806.1	Bahrain
ON419040.1	Bahrain
ON197712.1	Bahrain
OP295587.1	Bahrain
ON418982.1	Bahrain
ON197731.1	Bahrain
ON171851.1	Bahrain
ON627455.1	Bahrain
ON077297.1	Bahrain
OM844211.1	Bahrain
OM843307.1	Bahrain
OM843358.1	Bahrain
ON076621.1	Bahrain
ON146549.1	Bahrain
ON077257.1	Bahrain
OM844210.1	Bahrain
OP169753.1	Bahrain
ON076648.1	Bahrain
